"","name_description","bottle_price","case_price"
"1","533 CHATEAU LALANDE (Listrac, Medoc)","1.29","14.50"
"2","528 CHATEAU LAFON ROCHET (St. Estephe)","1.49","16.95"
"3","139 CHATEAU RIPEAU (St. Emilion)","1.49","16.95"
"4","140 CHATEAU LARRIVAUX (Haut Medoc)","1.69","18.50"
"5","84 CHATEAU BRANAIRE DUCRU (St. Julien)","1.69","18.50"
"6","176 CHATEAU L’ANGELUS (St. Emilion)","1.19","19.95"
"7","380 CHATEAU FIGEAC (St.En1ili0n)","1.19","19.95"
"8","619 CHATEAU TROPLONG MONDOT (St. Emilion)","1.19","19.95"
"9","198 CHATEAU PETIT VILLAGE (Pomerol)","2.19","31.50"
"10","7 Very great year-—extraordinary softness, eleg-","1.49","16.95"
"11","282 CHATEAU GRAND PEY LESCOURS (St. Emilion)","1.49","15.95"
"12","220 CHATEAU VERDIGNAN (Haut Medoc)","1.99","22.55"
"13","105 CHATEAU BRANAIRE DUCRU (St. Julien)","1.99","22.65"
"14","489 CHATEAU FIGEAC (St. Emilion)","1.99","22.65"
"15","615 CHATEAU I’AVIE (St. Emilion)","2.19","24.50"
"16","197 CHATEAU CARRAUDES DE LAFITE ROTHSCIIILD (Pauillac)","2.19","24.50"
"17","25.1 CHATEAU PICHON LONGUEVILLE (Pauillac)","2.39","26.50"
"18","356 CHATEAU CANON (St. Emilion)","2.39","26.50"
"19","371 CHATEAU GAFFELIERE-NAUDES (St. Emilion)","2.49","21.95"
"20","182 CHATEAU cos D’ESTOURNEL (St. Estephe)","2.49","21.95"
"21","689 CHATEAU LA MISSION HAUT BRION (Graves)","2.99","34.50"
"22","165 CHATEAU LEOVILLE LASCASES (St. Julien)","2.19","24.50"
"23","59.1 CHATEAU PALMER (Margaux)","2.49","21.95"
"24","692 CHATEAU L.-\ MISSION HAUT BRION (Graves)","2.99","34.50"
